job_id,title,location,department,salary_range,company_profile,description,employment_type,required_experience,required_education,industry,function,fraud
7,Head of Content (m/f),"DE, BE, Berlin",ANDROIDPIT,20000,"Founded in 2009, the Fonpit AG rose with its international web portal ANDROIDPIT to the world's largest Android community. Every month over 18 Million Android and tech enthusiasts around the world log into ANDROIDPIT , where they know they'll find the latest and most innovative information about Android and Android-Apps in 6 different languages. Our business activities consist of close collaboration with many of the world's largest tech, web and mobile companies.In 2014, APP MEDIA amended Fonpit AG’s brand portfolio. As a one-stop shop for app marketing,APP MEDIA delivers quality performance marketing for apps to give clients the most successful campaigns possible with custom concepts and sustainable results.Located in the heart of Berlin, we are constantly looking for highly motivated and success driven personalities to help ANDROIDPIT and APP MEDIA grow even further.",Your Responsibilities: Manage the English-speaking editorial team and build a team of best-in-class editorsSet up content creation schedules and ensure deadlines are adhered toResearch and write about the latest tech topics and news in relation to the Android ecosystemEnsure that the content on the site is of a consistently high qualityBe the face and voice of #URL_874846adb69d98865d05ec57ce2425d9e363ef71e0c8436e59e86a136a508716#,Full-time,Mid-Senior level,Master's Degree,Online Media,Management,0
16,VP of Sales - Vault Dragon,"SG, 01, Singapore",Sales,120000,"Jungle Ventures is the leading Singapore based, entrepreneur backed, venture capital firm, that funds and actively supports start-ups in scaling across Asia Pacific. We pride ourselves on leading investments with conviction.We invest in global start-ups that are solving problems relevant to Asia Pacific markets. We currently have investments in US, Singapore, India, Australia, Thailand, Malaysia, and the Philippines. As one of the most active investors in the region we have made 27 investments to date, including Travelmob which was acquired by Homeaway last year.Jungle are the only truly active investors in the region which means working with us doesn’t mean an investment and occasional board meeting. Our team of Venture Partners, Advisors and Operating Partners roll-up their sleeves and work side by side with you to solve the little problems and scale across countries.","About Vault Dragon Vault Dragon is Dropbox for your physical stuff - a startup that is changing the aesthetic face of Singapore by creating more space in households and offices. We also save countless doctors, lawyers and professional services firms everyday from the catastrophe of document storage and management. Singapore Business Review magazine says we are one of the 20 hottest startups in Singapore. Don’t believe a word they are saying, because we are THE hottest startup in Singapore.Our crusade against the lack of space in Singapore is supported by top VC funds, including Jungle Ventures, 500 startups and Golden Gate ventures. Vault Dragon is the hero Singapore deserves and the one it needs right now, come and join!Job DescriptionVault Dragon is looking for a VP of Sales who will 'roll up their sleeves' and drive sales to both B2B and B2C customers. We need someone as persistent as Seth (Boiler Room) and as driven as Jordan (Wolf of Wall Street). If you don't relate, then you can stop reading. But if “No” is not a word in your dictionary, and you love selling like we love pancakes, then this is definitely the job for you. The only boundary when it comes to working with us is your own imagination.The VP of Sales will (breathe in) drive planning, reporting, quota setting and management, sales process optimization, sales job design, sales training, sales program implementation, sales compensation design and administration, and recruiting and selection of sales force talent (breathe out). In addition they are responsible for the overall productivity and effectiveness of the sales organization. Reporting to the Founders, the VP of Sales also works closely with internal and external stakeholders to ensure the appropriate objectives and priorities are enabled within the sales organization.ResponsibilitiesUnleash the Dragon and and lead the sales charge for our awesome service. We are a rapidly growing startup and it's ground zero for a sales master to come into their own how they always dreamed of. You aren't going to be micro-managed here, so how you drive sales is up to you, so long as no bunnies are harmed in the process.We are looking for a change maker who knows what they want and how to do it, but high-level responsibilities include:Smash sales targets and set new milestonesDevelop quality sales material yourselfGenerate a high volume of sales related activity including cold calls, presentations, proposals, and client relationship developmentDevelop account strategies to drive long term revenue growth and upsellImplimenting enabling technology including CRM (and ensuring compliance)Hiring and training and incentivising your own sales team for both phone and field salesConceiving and implimenting sales processes that get resultsCoordinating sales forecasting, planning, and budgeting processes with the Founders in alignment with the business plan KPIs and continuous reportingDeveloping a 'Sales bible' to be leveraged as we expand outwards",Full-time,Executive,Bachelor's Degree,Facilities Services,Sales,0
24,"Vice President, Sales and Sponsorship (Businessfriend.com)","US, CA, Carlsbad",Businessfriend.com,100000,"WDM Group is an innovative, forward thinking digital company aimed at bringing business executives up-to-date with the latest news, information and trends from across the globe.Aimed at informing, engaging, educating and interacting with business executives the world over, WDM Group’s products takes an in-depth look at inter-country relations, trade and tourism, prominent industries, success stories and lessons to be learned in business.With a physical presence in many of the world’s largest economies, WDM Group is abreast with news and developments occurring around the clock. We aim to keep our ears to the ground and our fingers on the pulse to bring busy executives a breakdown of the biggest and most interesting updates from across the world’s largest and most influential territories and industries.With WDM Group you don’t just read the news, you make it.","#URL_eda2500ddcedb60957fcd7f5b164e092966f8c4e8fb89ce70a16bea1545a297d#, an up and coming social media company, is seeking a VP, Sales and Sponsorship executive to be responsible for creating and selling branded, high-impact social media marketing and sponsorship programs for its key product, “The Ultimate Business App.""#URL_eda2500ddcedb60957fcd7f5b164e092966f8c4e8fb89ce70a16bea1545a297d# combines the ability to discover, connect and share with fellow professionals and offers the unique ability to communicate, manage, store and notate all aspects of your working life from one website and one mobile app. It’s positioned to be the world's newest social networking platform for professionals and the companies they work for.Do you have what it takes to be part of “The Next Big Thing” to hit social media? Read on…Responsibilities:Create, package and sell marketing and sponsorship opportunities within the Businessfriend suite of connection and communication tools to boost web site traffic and overall usage;Craft sales presentations that creatively and distinctly differentiate and communicate unique Businessfriend assets to targeted prospects;Educate / position Businessfriend assets and marketing capabilities to the sponsor/ advertiser marketplace; demonstrate the branding values of Businessfriend to create unique marketing value with company assets;Structure, price, successfully negotiate and close all deals and arrangements;Meet or exceed revenue and key account goals;Oversee sponsor contracts, invoicing, and accounts receivable or develop processes to ensure execution and collections;Responsible for working with senior leadership to create annual budgets, including sales forecasts and expenses.",Full-time,Executive,Unspecified,Internet,Sales,0
99,IC&E Technician,"US, , Stocton, CA",Oil & Energy,95000,"                                                                                 Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  You'll save thousands on daily expenditures Professional Relocation Services for out of town candidates* All candidates are encouraged to participate in our Referral Bonus Program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the Refined Resources teamPlease submit referrals via online Referral FormThank you and we look forward to working with you soon!  [ Click to enlarge Image ]","IC&amp;E Technician | Bakersfield, CA Mt. PosoPrincipal Duties and Responsibilities: Calibrates, tests, maintains, troubleshoots, and installs all power plant instrumentation, control systems and electrical equipment.Performs maintenance on motor control centers, motor operated valves, generators, excitation equipment and motors.Performs preventive, predictive and corrective maintenance on equipment, coordinating work with various team members.Designs and installs new equipment and/or system modifications.Troubleshoots and performs maintenance on DC backup power equipment, process controls, programmable logic controls (PLC), and emission monitoring equipment.Uses maintenance reporting system to record time and material use, problem identified and corrected, and further action required; provides complete history of maintenance on equipment.Schedule, coordinate, work with and monitor contractors on specific tasks, as required.Follows safe working practices at all times.Identifies safety hazards and recommends solutions.Follows environmental compliance work practices.Identifies environmental non-compliance problems and assist in implementing solutions.Assists other team members and works with all departments to support generating station in achieving their performance goals.Trains other team members in the areas of instrumentation, control, and electrical systems.Performs housekeeping assignments, as directed.Conduct equipment and system tagging according to company and plant rules and regulations.Perform equipment safety inspections, as required, and record results as appropriate. Participate in small construction projects.  Read and interpret drawings, sketches, prints, and specifications, as required.Orders parts as needed to affect maintenance and repair.Performs Operations tasks on an as-needed basis and other tasks as assigned.Available within a reasonable response time for emergency call-ins and overtime, plus provide acceptable off-hour contact by phone and company pager.          Excellent Verbal and Written Communications Skills:Ability to coordinate work activities with other team members on technical subjects across job families.Ability to work weekends, holidays, and rotating shifts, as required.",Full-time,Mid-Senior level,High School or equivalent,Oil & Energy,Other,1
103,Marketing Administrator,"GB, WAR, Coventry",Marketplace,15000,Renewable Energy and Environmental Protection equipment,"The job is to support the growth of the #URL_9f35c886234b8e939f5403fd12ad24821ba485aee59d1581c7a35be587faa504# marketplace project. This will involve liaison with vendors, administration of the website, liaison with the website designers, interfacing between accounts and clients, and generally troubleshooting the various systems involved in running an internet marketplace. The successful candidate will be someone who is interesting in marketing and would like to grow into a bigger role within the company.",Full-time,Entry level,Bachelor's Degree,Internet,Marketing,0
108,Senior Developer at a Startup Investment Studio ,"GB, LND, London",FP,50000,"Based in Hoxton, London, Forward Partners are a “startup catalyst”, combining investment with practical hands-on expertise and insight.We're investors in very early stage ecommerce companies.  Our team have the experience to enable entrepreneurs to succeed.  We do more than advise and mentor. We help the best entrepreneurs quickly find a great product-market fit with our expertise in customer discovery, coding, design, customer acquisition, testing and analysis as well as offering office space.Companies invested in include: Hailo, Zopa, Wool and the Gang, Thread, Big Health, Stylect, Makers Academy, Blik Book, DriftRock, Top10, SnapTrip, Loyalty Bay and Appear Here","Forward Partners invest in very early stage e-commerce startups and help them to grow.  We have an in-house team of designers, marketers and product managers who work with the founders of these companies and guide them through their growth and development.You might have heard of some of the companies we've helped and invested in already - Hailo, Zopa, Wool and the Gang, Thread, Big Health, Stylect, Makers Academy, #URL_5e07a935c285960c1778838c4eb735aedb124df9b86a50949ced9254889f8446#, DriftRock, Top10, SnapTrip, Loyalty Bay and Appear Here.We're looking for a skilled developer, who can make our entrepreneurs ideas a reality. You'll build prototypes, offer expert guidance and make suggestions for innovations all working in an agile fashion with the company founders and Forward Partners team.  Ideally, you'll comfortable making architectural choices and enjoy getting your hands dirty.  You'll own every stage of coding, testing and deployment. You’ll advise on the appropriate tech stack and agile methodologies suited to the stage of the development.When we work with single founders we are often working completely from scratch, some may only have a landing page, some may already have a thriving e-commerce business, some may have an app that already has thousands of users, both the variety and challenge is endless.You will be deeply involved in all aspects of the startups that you are developing for, understanding their business problems and solving for them with a lean mindset.Additionally, you'll have the chance to develop a thought leadership position in the startup community and we’ll encourage you to build your reputation through blogging, speaking and networking.",Full-time,Not Applicable,Unspecified,Venture Capital & Private Equity,Information Technology,0
135,Senior Business Development Manager,"GB, , Manchester",Sales and Business Development,70000,"MarketInvoice is one of the most high-profile London based fin-tech companies. The Company is Europe’s leading P2P invoice finance platform that allows SMEs to quickly and flexibly sell their invoices, releasing critical working capital in the process.Our mission at MarketInvoice is to modernise the way in which SMEs finance their working capital and fund their growth. We are seeking to bring much-needed innovation to the banking industry in much the same way that online retailers disrupted the high street.You will be joining a diverse, multi-talented, fast-growing team that is passionate about using technology to help businesses access funding and change the world of business finance.","BACKGROUNDA senior sales and account management role in the business development team which will see you develop high value qualified leads into a profitable portfolio of clients. This role is perfect for an experienced consultative sales professional who understands why customers need working capital and believes in the MarketInvoice mission to make business finance more efficient and transparent. KEY RESPONSIBILITIESConversion of qualified leads from multiple industry sectors to active trading accounts and the ongoing management of those accountsAchieving a sales target consisting of volume, revenue, new clients and client retentionMentoring and management of Sales Associates The role encompasses:Delivering against a specified business development strategy and target on a daily basisEngagement with CEO’s and FD’s in SME’s and mid cap businesses in the UKFace to face client meetings at board levelProviding timely and accurate reporting to the businessUse in-house data sources as well as log activity via our CRM systemUndergoing personal training and development with a route through to the MarketInvoice management team and eventually take ownership of part of the businessAttendance of external events and networking opportunitiesDealing with inbound sales leads and referrals from multiple business sectors across the UKExecuting successful sales techniques to move targets through the MarketInvoice sales funnelDriving new business generation through referrals and relationship building ",Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0
154,Senior Project Manager,"GB, , London",Production,28000,"Neverbland is a team of designers, developers and doers. Specialists in user experience, interaction design and product development. Having earned our spurs developing startups, we understand the importance of simple, elegant solutions and quick releases; matching beautiful aesthetic to functional design.We're driven by the Web's ability to unite and empower. That's why we're passionate about collaboration and the open source movement. But it's what we haven't done that really excites us. What's next?","Some of us are born with the ability to multi task, organize our lives and the lives of others with laser accuracy. Some of us aren’t. Fortunately for those of us who aren't (author of this post included), there are people like you, who can and do, with startling brilliance.You'll love working at the heart of a close-knit team to develop medium and long-term plans as much as you’ll enjoy the day-to-day remit of communicating with and delivering exciting projects to our clients. You'll have a passion for the internet and leading web technologies and whilst we don't expect you to be a developer you'll be aware of leading front and back end technologies and know your PHP from JS and CSS and be at ease writing a spec and justifying your approach to a client.You’ll be equally at home managing projects in an agile way as you are confident controlling the budgets. You’ll also relish working as part of an international team– supporting the studio and simultaneously managing and growing relationships client-side.  You’ll understand the importance of working fast and delivering on time, but never, ever at the expense of quality.This is a fantastic opportunity for a talented, ambitious hard working Producer looking for an open ended opportunity with a product focus that will be anything but dull.",Full-time,Mid-Senior level,Bachelor's Degree,Internet,Production,0
161,Field Services Supervisor,"US, WI, Western Wisconsin ",Field Operations,44000,"Dairy, food and beverage processors work within one of the most complex, competitive and precision-driven industries.  They need a partner they can rely on to address their operational issues.  W.M. Sprinkman has been providing system design, engineering and installation as well as stainless steel manufacturing, maintenance and servicing of equipment for over 80 years.  The secret (foundation/ core) of our longevity is our incredibly talented and dedicated staff from sales to service, concepts to installation.  ","W.M. Sprinkman designs, builds and installs stainless steel processing systems for the dairy, food and beverages industry.  We're a rapidly growing organization with TANKS of opportunity for enthusiastic, team-oriented people with a passion for delighting our customers.  We're looking for a Field Services Coordinator who will be responsible for all aspects of field service including scoping, scheduling and staffing assignments, procurement and follow-up. ESSENTIAL DUTIES AND RESPONSIBILITIES include the following:Job definition/ScopeWorks with customers to understand scope of field service projects.When necessary, participates in kick-off meeting with customer and assumes the role of on-site manager for installations.When necessary, prepares and delivers estimates to customers for field service.Tracks and documents change orders to ensure proper billing at project completion.Manages procurement process and ensures material is ordered and sent to job sites on time.  Receives inbound requests for additional material from field and determines proper course of action with purchasing.On occasion acts as sales lead for field service work to develop business. Service delivery managementResponsible for direction and management of on-site field service crews.Works with field service crews to ensure all aspects of job are complete.Works with Shop Foreman for scheduling of resources at job sites.OperationsEnsures all safety requirements are met.Ensures all DOT requirements are adhered to.Ensures Sprinkman quality standards are upheld within field service organization.Develops written reporting procedures for all field service work performed.Ensures accurate records of all field service calls are maintained.Reviews all customer billings to ensure accuracy.Maintains organization of and maintenance of field service vehicles and equipment.Tracks and maintains records of warranty work.",Full-time,Associate,High School or equivalent,Mechanical or Industrial Engineering,Manufacturing,0
172,System Administrator,"GB, CMD, London",Technology,30000,"The Technical Team and offering at VML London has a very strong heritage dating back to the mid-nineties when the London office was founded. Back in those days we were one of the first few purely digital marketing agencies in London; and back then things were a lot more technically driven than they often are today; as such the Technology team here continues to enjoy a strong strategic influence on the work that the agency undertakes and the clients that we engage.It just works.Technology is brilliant when you don’t have to think about it. That’s what we strive for in our solutions. Our technology team has a strong strategic influence on the work we undertake and are involved as soon as the brief lands. They stay involved throughout strategy, creative concepting and design. Acting as important enablers, we bring new and emerging technology to the table to successfully marry the requirements of our clients with the vision of our creatives.Open standards, open minds.We aim to deliver the most elegant technical solution for your budget, and maintain a technology agnostic approach to development in order to achieve that. Technology can be expensive, both in terms of hard costs and costly mistakes, so we’re as careful with your money as we are with our own.   Perhaps that’s why some of our clients have been with us for over 10 years. When faced with a new problem our first instinct is always to see if someone else has already solved it. As such, the solutions we design are built on the rich eco-system of open source software (OSS); the proven and battle-tested kind that we know will not just do the job quickly and cost-effectively, but also robustly. Where OSS isn't appropriate we always favour solutions that are built to open standards that we know will integrate well with other technologies.Strong partnerships.Our work is complemented by strong partnerships with technology vendors and suppliers.   Proven over time, our established strategic relationships with many of the leaders in software, hardware and other technology solutions help ensure we’re able to continue to offer best-in-class technical solutions for our clients.What we do:High availability and high performance website architecture &amp; developmentWeb content management solutionsCreative technology ideationContent optimisation, search and analyticsHigh volume, multi-locale email campaignsMobile optimisationLocalisation","The role of the SAs is a vital role in the running of the platforms VML manage! We have a number of clients’ sites that require SA skills and maintenance as well as numerous internal machines/sites that need to be looked after.We are looking for a passionate SA to join the team to bring TLC to the platforms, to make them feel warm, loved and cared for and to keep them happy and running! As well as build new platforms and tools, support in-house development platforms and provide advice and knowledge about OS/DBA/hardware where needed. Role summary:What does the role of the SA entail for us…. Well:a)     Building new environment for clients, be it on the cloud platforms (Azure or AWS) or on bare-metalb)     Maintaining current sites (live and development) which are running Ubuntu, RHEL(4,5 and 6), Windows (not in live), with MySQL, Java, Tomcat, Apache webserver, NGnix, etc.. configurationsc)      Returning sites/machines to working state when they have crashes/had an outaged)     Pro-active maintenance and support to minimize outagese)     Building and configuring new support tools/platforms (e.g. JIRA, Confluence, Hudson etc..) as and when required.f)      Supporting and providing ideas and solutions for the Technical team for OS/DB issues (e.g. suggested infrastructures) etc..",Full-time,Associate,Vocational,Marketing and Advertising,Information Technology,0
